age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
60,5,33378,11,2,3,5,4,1,0,0,40,39,1
38,4,169827,11,2,4,0,4,1,14087,0,44,39,1
39,2,420223,15,2,4,0,4,1,0,0,50,39,0
36,4,133060,9,2,12,0,4,1,0,0,44,39,1
61,4,212163,12,2,4,0,4,1,14090,0,49,39,1
48,2,162208,9,2,4,0,4,1,0,0,54,39,1
33,4,156302,7,2,1,3,4,1,0,0,40,39,0
34,4,163949,11,2,3,0,4,1,0,0,58,39,1
32,4,131947,15,4,13,3,4,1,0,0,15,39,0
30,6,324099,15,2,0,0,4,1,0,0,46,39,0
25,4,124377,15,4,1,4,4,1,0,0,40,39,0
33,4,102700,11,4,12,3,2,0,0,0,24,39,0
22,4,225743,11,0,6,4,4,0,0,0,40,39,0
23,6,95960,9,0,1,3,4,0,0,0,40,39,0
24,4,64371,15,0,1,0,4,0,0,0,40,39,0
23,4,157888,15,0,8,0,4,1,0,0,40,39,0
29,1,176224,1,2,12,1,4,1,0,0,50,39,0
26,4,447453,15,4,14,4,4,1,0,0,90,39,0
24,4,231095,9,4,1,0,2,0,0,0,47,39,0
61,6,343920,11,4,8,1,4,1,0,0,40,39,0
32,4,188753,11,2,6,1,4,0,0,0,50,39,0
25,4,138834,9,0,12,0,4,1,0,0,40,39,0
48,4,159846,11,4,8,0,4,1,0,0,40,39,0
32,4,139130,9,4,10,1,4,1,0,0,71,39,0
38,4,254874,15,2,7,2,0,1,0,0,50,39,1
30,4,226157,9,4,12,3,2,1,0,0,40,39,0
25,4,152416,9,2,12,3,4,0,0,0,40,39,0
38,4,187621,11,2,12,0,4,0,0,0,40,39,0
23,4,236340,15,6,5,5,2,1,0,0,22,39,0
26,4,295958,11,2,3,1,4,1,0,0,13,39,0
43,6,271764,11,4,12,3,2,1,0,0,40,39,0
25,4,174121,15,4,1,1,4,1,0,0,40,39,0
25,5,53545,9,0,9,4,2,0,0,0,40,39,0
21,4,257656,11,4,8,4,4,0,0,0,36,39,0
60,7,373066,2,0,1,3,4,0,0,0,40,27,0
26,4,117380,9,0,1,0,4,0,0,0,40,39,0
39,4,178981,11,2,8,0,4,0,0,1667,40,39,0
21,4,53163,11,2,4,0,4,1,14090,0,49,39,1
23,4,164020,9,0,6,3,2,1,0,0,40,39,0
27,4,41257,15,4,4,3,4,0,0,0,40,39,0
60,6,276109,11,2,7,2,0,1,0,0,40,39,0
61,4,268686,11,2,3,0,4,1,14090,489,54,27,1
25,0,311441,11,2,7,0,2,1,0,0,61,39,0
59,4,142298,11,2,10,0,4,1,0,0,50,39,1
47,4,164960,11,2,1,1,4,0,0,0,40,39,0
42,4,104146,15,4,1,1,4,1,0,0,23,39,0
48,4,186868,11,4,3,1,4,1,0,0,40,39,0
38,4,157489,11,2,12,0,4,1,0,0,44,39,1
19,4,59729,11,4,8,4,4,0,0,0,5,39,0
61,4,218276,11,2,3,1,4,1,0,774,40,39,1
26,4,148521,0,2,3,1,4,0,0,0,25,39,0
59,4,153974,15,4,8,0,4,1,0,1548,40,39,0
32,4,256341,11,2,12,1,4,1,0,0,40,39,0
36,0,395907,15,4,3,0,4,1,0,0,50,39,0
20,4,135946,15,4,1,3,2,0,0,0,20,39,0
53,4,216652,15,4,10,4,4,1,0,0,40,39,0
38,4,172832,15,2,12,0,2,1,0,0,40,39,0
60,0,460388,15,4,10,0,4,1,0,0,40,39,0
69,6,406370,9,2,0,3,4,1,0,0,40,39,0
42,4,127418,11,2,1,1,4,0,0,0,48,39,0
32,4,160295,11,2,11,3,4,1,0,0,40,39,0
20,4,340683,0,4,6,3,2,0,0,0,15,39,0
28,6,176995,9,2,3,0,4,1,0,0,40,39,0
20,4,108257,11,4,9,5,4,1,0,0,24,39,0
30,4,195836,15,2,5,3,4,1,0,0,40,39,0
22,4,317193,15,4,5,0,4,0,0,0,45,39,0
53,4,129786,11,4,12,4,4,1,0,0,40,39,0
29,0,257806,4,4,12,0,2,0,0,0,40,39,0
52,4,173771,11,2,12,4,2,1,0,0,40,39,0
20,4,111243,11,0,6,0,4,0,0,0,21,39,0
32,4,161759,11,2,3,1,4,1,0,0,61,39,0
19,4,100653,11,4,6,3,2,0,0,0,18,39,0
42,4,203321,8,2,3,1,4,1,0,0,40,12,0
21,4,233192,15,4,12,3,2,1,0,0,40,39,0
27,4,345732,9,4,0,0,4,0,0,0,40,39,0
33,4,218675,11,2,12,0,4,1,0,0,50,39,0
43,2,70529,15,6,3,5,4,1,0,0,51,39,0
